nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
AG-FSTK01,2__FSTAT001,,,Statkraft Markets Gmbh,S,TRUE,STAT_F2,STATKRA1,-2,50,C,-0.0095682,-0.065,-0.065,1.62,1.63,FALSE,FALSE,_F,_F - Northern,,
AG-FSTK02,2__FSTAT002,,,Statkraft Markets Gmbh,S,TRUE,STAT_F3,STATKRA1,-2,50,C,-0.0095682,-0.229,-0.057,5.72,1.415,FALSE,FALSE,_F,_F - Northern,,
AG-FSTK03,2__FSTAT003,,,Statkraft Markets Gmbh,S,TRUE,STAT_F4,STATKRA1,-2,50,C,-0.0095682,-0.241,-0.053,6.03,1.32,FALSE,FALSE,_F,_F - Northern,,
AG-GBL01B,V__BGBLO001,,,GridBeyond Limited,V,TRUE,V__BGBLO001,ENDECO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,,
AG-GBL02E,V__EGBLO001,,,GridBeyond Limited,V,TRUE,V__EGBLO001,ENDECO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-GBL03F,V__FGBLO001,,,GridBeyond Limited,V,FALSE,V__FGBLO001,ENDECO,0,0,C,-0.0095682,0,0,0,0,FALSE,FALSE,_F,_F - Northern,,
AG-GBL04M,V__MGBLO001,,,GridBeyond Limited,V,FALSE,V__MGBLO001,ENDECO,0,0,C,-0.0043908,0,0,0,0,FALSE,FALSE,_M,Yorkshire,,
AG-GBL05D,V__DGBLO001,,,GridBeyond Limited,V,TRUE,V__DGBLO001,ENDECO,0,0,C,0.0067798,0,0,0,0,FALSE,FALSE,_D,Merseyside and North Wales,,
AG-GBL06G,V__GGBLO001,,,GridBeyond Limited,V,TRUE,V__GGBLO001,ENDECO,0,0,C,-0.0021896,0,0,0,0,FALSE,FALSE,_G,North Western,,
AG-GBL07N,V__NGBLO001,,,GridBeyond Limited,V,TRUE,V__NGBLO001,ENDECO,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
AG-GBL08H,V__HGBLO001,,,GridBeyond Limited,V,TRUE,V__HGBLO001,ENDECO,0,0,C,0.0160206,0,0,0,0,FALSE,FALSE,_H,Southern,,
AG-GBL09B,V__BGBLO009,,,GridBeyond Limited,V,TRUE,V__BGBLO009,ENDECO,0,0,C,0.0064338,0,0,0,0,FALSE,FALSE,_B,East Midlands,,
AG-GBL0AE,V__EGBLO010,,,GridBeyond Limited,V,TRUE,V__EGBLO010,ENDECO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-GBL0BE,V__EGBLO011,,,GridBeyond Limited,V,TRUE,V__EGBLO011,ENDECO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-GBL0CE,V__EGBLO012,,,GridBeyond Limited,V,TRUE,V__EGBLO012,ENDECO,0,0,C,0.0150195,0,0,0,0,FALSE,FALSE,_E,Midlands,,
AG-GBL0DN,V__NGBLO013,,,GridBeyond Limited,V,TRUE,V__NGBLO013,ENDECO,0,0,C,-0.0122086,0,0,0,0,FALSE,FALSE,_N,SOUTH of SCOTLAND GSP,,
