nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
MID-RNW01,2__ERENC000,,,ECOTRICITY LIMITED,G,false,2__ERENC000,RENC,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-SEE01,2__ESEEB000,,,EDF Energy Customers Limited,G,true,2__ESEEB000,LENCO,-2.000,0.000,C,0.0151602,-0.784,-0.662,0.000,0.000,false,false,_E,Midlands,
MID-SEL01,2__ESMAR000,,,Smartestenergy Limited,G,true,2__ESMAR000,SMARTEST,-160.050,0.000,C,0.0151602,-103.536,-75.448,0.000,0.000,false,false,_E,Midlands,
MID-SPC01,2__ESPOW000,,,SP Energy Retail Ltd,G,true,2__ESPOW000,SPSUP01,-223.200,0.000,C,0.0151602,-132.268,-126.755,0.000,0.000,false,false,_E,Midlands,
MID-SSE01,2__EHYDE000,,,OVO Electricity Ltd,G,false,SSE SBMU1 - Midlands GSPG,OVOE,0.000,0.000,C,0.0143610,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-STH01,2__ESOUT000,,,OVO Electricity Ltd,G,true,SE SBMU1 - Midlands GSPG,OVOE,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-SWA01,2__ESWAE000,,,OVO Electricity Ltd,G,true,SWA SBMU1 - Midlands GSPG,OVOE,0.000,0.000,C,0.0143610,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-SWT01,2__ESWEB000,,,EDF Energy Customers Limited,G,true,SWEB Default BMUid MIDE,LENCO,0.000,0.000,C,0.0151602,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-SYM01,2__ESYMB000,,,E.ON Next Energy Ltd,G,true,2__ESYMB000,NITTWO01,0.000,0.000,C,0.0199884,0.000,0.000,0.000,0.000,false,false,_E,Midlands,
MID-TFE01,2__ETGPL000,,,TotalEnergies Gas & Power Ltd,G,true,2__ETGPL000,TFEGP,-301.183,30.000,C,0.0151602,-169.566,-124.599,16.890,12.411,false,false,_E,Midlands,
MID-TIL01,2__ETILL000,,,British Gas Trading Ltd,G,true,2__ETILL000,BRITGAS,-408.141,0.000,C,0.0151602,-196.479,-206.887,0.000,0.000,false,false,_E,Midlands,
MID-YEP01,2__EYELG000,,,npower limited,G,true,_E  Default BM Midlands,YE,-0.060,0.000,C,0.0134244,-0.033,-0.034,0.000,0.000,false,false,_E,Midlands,
MIDMW-1,T_MIDMW-1,48W00000MIDMW-19,WIND,OnPath Energy Limited,T,true,MIDDLE MUIR WIND FARM,BANKSREN,-1.000,51.000,P,-0.0088069,-0.400,-0.400,20.400,20.400,true,false,,,
MILWW-1,T_MILWW-1,48W00000MILWW-1M,WIND,Millennium Wind Energy Ltd,T,true,MILWW,MILLEN07,-1.000,65.000,P,-0.0301340,-0.400,-0.400,26.000,26.000,true,false,,,
MINSW-1,E_MINSW-1,48W00000MINSW-1U,WIND,Mobius Renewables Gen. (GB),E,true,Minsca Wind Farm,AIRGEN,-0.260,38.123,C,-0.0088069,-0.104,-0.104,15.249,15.249,true,false,_N,South Scotland,
MJERE000,2__MJERE000,,,Shell Energy UK Limited,G,false,2__MJERE000,AMPERE,0.000,0.000,C,-0.0079685,0.000,0.000,0.000,0.000,false,false,_M,Yorkshire,
MKFRB-1,T_MKFRB-1,48W00000MKFRB-15,,HD777FRY Ltd,T,true,Monk Fryston,CESMON01,-57.000,57.000,P,-0.0051169,-22.800,-22.800,22.800,22.800,true,false,,,
MKHLW-1,T_MKHLW-1,48W00000MKHLW-1D,WIND,SP Renewables (UK) Limited,T,true,Mark Hill,SPCRE01,-2.500,53.000,P,-0.0088069,-1.000,-1.000,21.200,21.200,true,false,,,
MNW-ATL01,2__DIMPO000,,,SSE Energy Supply Limited,G,true,2__DIMPO000,SSE,-67.800,0.000,C,0.0013166,-45.284,-37.582,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-AXPO1,2__DAXPO000,,,AXPO UK LIMITED,G,false,2__DAXPO000,EGLUK,-12.000,6.000,C,0.0013166,-5.034,-4.324,2.517,2.162,false,false,_D,Merseyside North Wales,
MNW-BGS01,2__DBGAS000,,,British Gas Trading Ltd,G,true,2__DBGAS000,BRITGAS,-2.055,0.000,C,0.0013166,-1.023,-1.092,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-BIZ01,2__DBIZZ000,,,British Gas Trading Ltd,G,true,2__DBIZZ000,BRITGAS,-26.300,0.000,C,0.0013166,-12.777,-10.249,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-EAS01,2__DEELC000,,,E.ON Energy Solutions Limited,G,true,2__DEELC000,PGENERGY,0.000,0.000,C,-0.0028260,0.000,0.000,0.000,0.000,false,false,_D,Merseyside and North Wales,
MNW-EDF01,2__DEDFE000,,,EDF Energy Customers Limited,G,true,EDFE_Midlands,LENCO,-110.000,0.000,C,0.0013166,-59.400,-58.784,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-EDR01,2__DEDIR000,,,British Gas Trading Ltd,G,true,2__DEDIR000,BRITGAS,0.000,0.000,C,0.0032459,0.000,0.000,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-ENR01,2__DENRD000,,,British Gas Trading Ltd,G,true,2__DENRD000,BRITGAS,-88.392,0.000,C,0.0013166,-47.086,-35.516,0.000,0.000,false,false,_D,Merseyside North Wales,
MNW-EON01,2__DEOND000,,,E.ON Next Energy Ltd,G,true,2__DEOND000,NITTWO01,-122.000,40.000,C,0.0013166,-63.769,-64.416,20.908,21.120,false,false,_D,Merseyside North Wales,
MNW-EST01,2__DEENG000,,,E.ON Energy Solutions Limited,G,true,2__DEENG000,PGENERGY,0.000,0.000,C,0.0026707,0.000,0.000,0.000,0.000,false,false,_D,Merseyside and North Wales,
MNW-GDF01,2__DRWED000,,,ENGIE Power Limited,G,true,2__DRWED000,RWETDL,-86.000,68.000,C,0.0013166,-52.735,-39.784,41.698,31.457,false,false,_D,Merseyside North Wales,
MNW-HPW01,2__DHPOW000,,,Drax Energy Solutions Limited,G,true,2__DHPOW000,HAVEN,-113.709,0.120,C,0.0013166,-83.144,-72.364,0.088,0.076,false,false,_D,Merseyside North Wales,
MNW-HVN01,2__DHAVE000,,,Drax Energy Solutions Limited,G,true,2__DHAVE000,HAVEN,0.000,51.080,C,0.0013166,0.000,0.000,9.705,9.705,false,false,_D,Merseyside North Wales,
