nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
AG-GSTK13,2__GSTAT013,,,Statkraft Markets Gmbh,S,TRUE,STAT_G14,STATKRA1,0,14,C,0.0039537,0,0,2.94,2.94,FALSE,FALSE,_G,North Western,
EMD-EON01,2__BEOND000,,,E.ON Next Energy Ltd,G,TRUE,2__BEOND000,NITTWO01,-568,14,C,0.0149883,-298.086,-296.212,7.347,7.301,FALSE,FALSE,_B,East Midlands,
TRFPK-1,E_TRFPK-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Trafalgar Park,CONRAD,-1.1,14,C,0.0149883,-0.44,-0.44,5.6,5.6,TRUE,FALSE,_B,East Midlands,
USKM-13,T_USKM-13,48W00000USKM-13T,BIOMASS,SIMEC Uskmouth Power Limited,T,TRUE,Uskmouth 13,USKMOUTH,0,14,P,0.0074977,0,0,5.6,5.6,TRUE,FALSE,,,
WTRSB-1,2__GCMRO002,,,BGI Trading Limited,S,TRUE,2__GCMRO002,CAMARO,-14.311,14,C,0.0039537,-5.41,-4.607,5.292,4.507,FALSE,FALSE,_G,North Western,
CRYRW-3,T_CRYRW-3,,WIND,Eneco Energy Trade,T,TRUE,Crystal Rig III,ENECOUK,-0.1,13.8,P,-0.0377779,-0.04,-0.04,5.52,5.52,TRUE,FALSE,,,
MNW-OVO01,2__DOVOE000,,,OVO Electricity Ltd,G,FALSE,2__DOVOE000,OVOE,-78.52,13.8,C,0.01133,-36.064,-38.663,6.338,6.795,FALSE,FALSE,_D,Merseyside and North Wales,
RAVED-1,T_RAVED-1,,,Marble Power Limited,T,TRUE,Corus Dalzell,MARBLE,-22.397,13.728,C,-0.0377779,-5.183,-5.183,3.177,3.177,FALSE,FALSE,,,
NSC-BGS01,2__PBGAS000,,,British Gas Trading Ltd,G,TRUE,2__PBGAS000,BRITGAS,-16,13.55,C,-0.0560366,-7.211,-7.589,6.107,6.427,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,
NSC-BIZ01,2__PBIZZ000,,,British Gas Trading Ltd,G,TRUE,2__PBIZZ000,BRITGAS,-19.115,13.475,C,-0.0560366,-9.731,-8.055,6.86,5.678,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,
STH-OCT01,2__HMRCY000,,,Octopus Energy Limited,G,TRUE,2__HMRCY000,MERCURY,-738.295,13.4,C,0.0225389,-369.369,-377.564,6.704,6.853,FALSE,FALSE,_H,Southern,
EMD-OCT01,2__BMRCY000,,,Octopus Energy Limited,G,TRUE,2__BMRCY000,MERCURY,-588.579,13.3,C,0.0149883,-294.76,-300.823,6.661,6.798,FALSE,FALSE,_B,East Midlands,
GDSTW-1,E_GDSTW-1,48W00000GDSTW-14,WIND,Mobius Renewables Gen. (GB),E,TRUE,Gordonstown,AIRGEN,-0.088,13.289,C,-0.0560366,-0.035,-0.035,5.316,5.316,TRUE,FALSE,_P,NORTH of SCOTLAND GSP,
NEE-OVO01,2__FOVOE000,,,OVO Electricity Ltd,G,FALSE,2__FOVOE000,OVOE,-83.38,13.175,C,-0.0004839,-39.439,-41.698,6.232,6.589,FALSE,FALSE,_F,_F - Northern,
EMD-AXPO1,2__BAXPO000,,,AXPO UK LIMITED,G,FALSE,2__BAXPO000,EGLUK,-16.517,13,C,0.0149883,-10.406,-8.057,8.19,6.341,FALSE,FALSE,_B,East Midlands,
JGPR-1,T_JGPR-1,,BIOMASS,JG Pears Power Ltd,T,TRUE,High Marnham JGPEARS,JGPEARSP,-6,13,P,0.0149883,-2.4,-2.4,5.2,5.2,TRUE,FALSE,,,
LSTWY-1,E_LSTWY-1,,,Conrad Energy (Trading) Ltd,E,TRUE,Lester Way,CONRAD,-1,12.72,C,0.0225389,-0.4,-0.4,5.088,5.088,TRUE,FALSE,_H,Southern,
