"233642, 74030"
"249891, 124902"
"378118, 112656"
"368922, 181730"
"635063, 166833"
"456710, 103840"
"628013, 153474"
"406095, 202822"
"565725, 187731"
"388259, 164933"
"537439, 244200"
"436715, 241041"
"249621, 203809"
"534234, 294198"
"460491, 428957"
"198922, 217459"
"385003, 177211"
"557342, 117038"
"375073, 204169"
"191082, 55525"
"191001, 200291"
"433582, 316633"
"352826, 315367"
"361262, 311911"
"572709, 111249"
"302265, 171141"
"396735, 97102"
"561429, 263931"
"319254, 192650"
"194473, 233813"
"310571, 185789"
"386849, 124179"
"544648, 114840"
"495555, 226052"
"351460, 340636"
"548420, 117019"
"494241, 220134"
"444776, 475104"
"233416, 338035"
"426142, 523694"
"308588, 118087"
"513149, 220690"
"230097, 95148"
"328224, 343948"
"297957, 99694"
"375171, 312179"
"461083, 217119"
"545350, 181950"
"493450, 102216"
"512509, 167686"
"498131, 106406"
"463188, 336136"
"129401, 538723"
"585483, 335992"
"258062, 301195"
"345545, 325520"
"548465, 117641"
"326262, 191423"
"241787, 339725"
"565650, 232265"
"331399, 154837"
"127283, 546753"
"449954, 371271"
"351085, 344240"
"304596, 197986"
"375914, 363479"
"274885, 105456"
"366415, 270925"
"414839, 330919"
"328584, 696136"
"231095, 102160"
"472795, 290643"
"331876, 191657"
"356791, 749786"
"193951, 212945"
"112523, 572478"
"129148, 526209"
"131013, 531722"
"129820, 526363"
"129536, 531688"
"134568, 534503"
"129097, 520344"
"141191, 538562"
"346150, 408856"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"535050, 192550"
"438274, 108147"
"0, 0"
"393506, 162624"
"332133, 136030"
"589450, 151072"
"227973, 100750"
"265395, 137979"
"551264, 270881"
"274429, 105004"
"273302, 59712"
"330222, 124913"
"171916, 31778"
"468005, 112956"
"271573, 59890"
"333040, 97434"
"198252, 50490"
"346475, 110116"
"296533, 118055"
"422792, 144085"
"427444, 169114"
"423437, 143998"
"378233, 127441"
"244284, 111956"
"304235, 94913"
"438181, 110655"
"185395, 49565"
"533992, 294321"
"239451, 97227"
"250049, 104054"
"577721, 311630"
"177775, 47586"
"449357, 93055"
"636663, 278367"
"191590, 53161"
"549558, 363539"
"456363, 82780"
"158256, 36251"
"254698, 129964"
"587463, 319985"
"239431, 81407"
"194606, 71371"
"444681, 100949"
"459558, 131825"
"209034, 61130"
"251218, 119059"
"547073, 272967"
"274991, 59302"
"359691, 145698"
"461387, 89012"
"572146, 220468"
"573913, 298817"
"572611, 296975"
"467187, 379023"
"522746, 277158"
"377815, 128359"
"478519, 341598"
"601943, 125385"
"242671, 62588"
"462034, 157344"
"335530, 142499"
"408318, 183058"
"625674, 239588"
"301013, 96534"
"492213, 104099"
"499291, 347452"
"363204, 145130"
"359176, 146235"
"389154, 182299"
"564210, 230560"
"633388, 164922"
"527561, 424182"
"307224, 170024"
"302476, 166946"
"202639, 63931"
"471765, 370062"
"235344, 122223"
"406557, 108809"
"239600, 373400"
"628770, 303787"
"476366, 237708"
"350965, 302668"
"347045, 130025"
"530442, 273663"
"596397, 144740"
"612862, 218208"
"319137, 193566"
"338419, 339068"
"427125, 209714"
"250255, 365482"
"540507, 244190"
"537951, 242629"
"227223, 97462"
"466033, 362403"
"388332, 105051"
"284136, 68721"
"460364, 370225"
"471468, 135482"
"302289, 84362"
"463321, 321230"
"561681, 302008"
"518826, 251804"
"617569, 163068"
"557796, 107151"
"373029, 143593"
"282422, 126165"
"564888, 223424"
"615682, 231393"
"593323, 219800"
"463388, 467066"
"441094, 361390"
"433432, 299754"
"461763, 420790"
"451649, 433677"
"579757, 218798"
"433077, 319883"
"458722, 296614"
"365834, 356455"
"336020, 546015"
"450038, 473183"
"460407, 516083"
"357538, 109283"
"336929, 432551"
"412619, 333405"
"440912, 542443"
"620403, 299944"
"390095, 304875"
"442323, 376116"
"507434, 349013"
"227518, 643857"
"487565, 299395"
"284154, 180554"
"293545, 177153"
"318604, 201211"
"437054, 141581"
"0, 0"
"314978, 455827"
"321476, 399706"
"622317, 208468"
"300833, 461449"
"567020, 368144"
"620650, 205297"
"304230, 455334"
"541677, 436555"
"315815, 398892"
"295033, 466313"
"573300, 363000"
"320039, 464000"
"626000, 426000"
"622317, 208468"
"300833, 461449"
"0, 0"
"466650, 427050"
"284977.432165, 644040.900925999"
"288851.292121, 641742.819368"
"252514.435648, 597670.456927999"
"259672.544711, 584952.222947999"
"261304.673539, 583126.645100999"
"261359.073372, 589083.399385"
"261221.358467, 580243.460736999"
"270138.101445999, 554580.985915999"
"207006, 716929"
"303202, 503793"
"288678, 207067"
"285500, 205500"
"295886, 191521"
"295979, 205172"
"286568, 205930"
"294649, 188695"
"448713, 116890"
"409850, 240750"
"328970, 344020"
"378234, 286133"
"336700, 115500"
"233249, 103010"
"409877, 99146"
"614962, 228422"
"169711, 21226"
"590428, 338001"
"181089, 49385"
"398731, 338883"
"451260, 86014"
"176372, 48050"
"523131, 362337"
"465126, 197272"
"173927, 37998"
"262382, 202019"
"478515, 248927"
"419461, 137939"
"235294, 67022"
"241551, 53320"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"222100, 226800"
"176000, 48200"
"63672, 512074"
"54170, 517391"
"302000, 969500"
"78039, 574408"
"192398, 207108"
"442644, 549702"
"373000, 656300"
"302000, 969500"
"38467, 541020"
"78039, 574408"
"267500, 301500"
"171000, 21200"
"176500, 35500"
"528800, 284900"
"361496, 837303"
"451000, 380000"
"436675, 543772"
"299700, 195700"
"491554, 439660"
"438490, 549675"
"320000, 860000"
"224000, 655000"
"328500, 785500"
"466000, 362000"
"545055, 318754"
"533458, 295082"
"507865, 443185"
"343216, 445233"
"527376, 430105"
"383200, 792000"
"312500, 535500"
"332961, 698416"
"527814, 286445"
"225000, 555000"
"193041, 204629"
"491902, 274577"
"230770, 69217"
"323550, 544400"
"524027, 297139"
"515374, 272655"
"580388, 335874"
"198592, 68218"
"267954, 636995"
"189923, 67094"
"483679, 283792"
"448975, 376975"
"486042, 416496"
"532606, 307038"
"224474, 564039"
"282928, 121610"
"268496, 101120"
"528300, 309000"
"97617, 556429"
"0, 0"
"298897, 185178"
"598484, 196719"
"181005, 648528"
"279141, 188569"
"180721, 660754"
"307313, 597397"
"294491, 272407"
"289252, 196198"
"294905, 655232"
"312065, 209235"
"0, 0"
"245292, 653952"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"518401, 299217"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"0, 0"
"547200, 176500"
"327988, 701561"
"519049, 256838"
"0, 0"
"451077, 182210"
"0, 0"
"652534, 307744"
"0, 0"
"475532, 351265"
"193370, 200137"
"0, 0"
