companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
Vattenfall,Aberdeen,Wind,Offshore,No,Wind,,96.8,HV,Scotland,Scotland,,,395748.0,814283.0,2018,57.21926094,-2.07205272,,,,,,
SSE Group,Peterhead,Fossil Fuel,CCGT,No,Natural Gas,,1180,HV,Scotland,Scotland,AB423BZ,,412790.0,843093.0,1980,57.47789808,-1.78837877,T_PEHE-1,,,,,
EPUKi,Lynemouth Power Limited,Bioenergy,Bioenergy,No,Biomass,,420,HV,England,North East,NE639NW,,429850.0,590374.0,2018,55.20672642,-1.53251863,,,,,,
Scira Offshore Energy,Hywind BMU 1,Wind,Offshore,No,Wind,,30,HV,Scotland,Scotland,,,433500.0,846500.0,2017,57.50745151,-1.44257917,,,,,,
Marchwood Power,Marchwood Power,Fossil Fuel,CCGT,No,Natural Gas,,898,HV,England,South East,SO404BD,,438274.0,108147.0,2009,50.87155325,-1.45742667,,,,,,
SSE Group,Lerwick,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,67,LV,Scotland,Scotland,ZE10PS,,446456.0,1142790.0,1953,60.16693802,-1.16472474,,,,,,
RWE Npower,Cowes,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140,LV,England,South East,PO326JF,,448472.0,93554.0,1982,50.73956923,-1.31442661,,,,,,
Uniper UK,Ratcliffe (Steam),Fossil Fuel,Conventional steam,No,Coal,,2021,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967,52.84485779,-1.25953138,,,,,,
RWE Npower,Didcot B,Fossil Fuel,CCGT,No,Natural Gas,,1450,HV,England,South East,OX117YU,,451077.0,182210.0,1998,51.53649152,-1.26495901,,,,,,
RWE Npower,Didcot GT,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,100,HV,England,South East,OX117YU,,451077.0,182210.0,1972,51.53649152,-1.26495901,,,,,,
EDF Energy,Hartlepool,Nuclear,AGR,No,Nuclear,,1185,HV,England,North East,TS252BZ,,451747.0,531078.0,1983,54.67213389,-1.19913357,,,,,,
Sembcorp Utilities,Wilton International ,Fossil Fuel,Conventional steam,Yes,Natural Gas,Oil,120,HV,England,North East,TS908WS,,458275.0,517359.0,1952,54.54815128,-1.1006436,,,,,,
Part of Drax Group,Drax Power Station Biomass Units,Bioenergy,Bioenergy,No,Biomass,,2640,HV,England,Yorkshire and the Humber,YO88PH,,466650.0,427050.0,2013,53.73560866,-0.99110085,,,,,,
Uniper UK,Cottam Development Centre,Fossil Fuel,CCGT,No,Natural Gas,,445,HV,England,East Midlands,DN220TF,,470307.0,378332.0,1998,53.29730894,-0.9465812,,,,,,
RWE Npower,Staythorpe,Fossil Fuel,CCGT,No,Natural Gas,,1828,HV,England,East Midlands,NG235RQ,,475532.0,351265.0,2010,53.05333653,-0.87458192,,,,,,
UK Transition Limited,West Burton CCGT,Fossil Fuel,CCGT,No,Natural Gas,,1332,HV,England,East Midlands,DN229BL,,479368.0,384538.0,2013,53.35180358,-0.8091114,,,,,,
SSE Group,Keadby,Fossil Fuel,CCGT,No,Natural Gas,,735,HV,England,East Midlands,DN173EF,,483280.0,411671.0,1982,53.59502801,-0.74317655,,,,,,
ESB,Corby Power Station,Fossil Fuel,CCGT,No,Natural Gas,,407,HV,England,East Midlands,,,488447.0,266932.0,1994,52.29342317,-0.70455331,,,,,,
Energy Capital Partners,Saltend Power Station,Fossil Fuel,CCGT,Yes,Natural Gas,,1200,HV,England,Yorkshire and the Humber,HU128GA,,509793.0,428825.0,2000,53.74426977,-0.33668998,,,,,,
Uniper UK,Killingholme,Fossil Fuel,Single cycle,No,Natural Gas,,600,HV,England,Yorkshire and the Humber,DN403LU,,516717.0,419816.0,1992,53.66183339,-0.2351444,,,,,,
Vitol,VPI,Fossil Fuel,CCGT,Yes,Natural Gas,,1268,HV,England,Yorkshire and the Humber,DN403DZ,,518189.0,412390.0,2004,53.5947896,-0.21569489,,,,,,
River Nene,Peterborough Power Station,Fossil Fuel,Single cycle,No,Natural Gas,,245,HV,England,East of England,PE15NT,,518401.0,299217.0,1993,52.57790601,-0.25411953,,,,,,
RWE Npower,Little Barford,Fossil Fuel,CCGT,No,Natural Gas,,723,HV,England,East of England,PE196YT,,519049.0,256838.0,1995,52.19694436,-0.25959711,,,,,,
EPUKi,EP SHB LTD,Fossil Fuel,CCGT,No,Natural Gas,,1365,HV,England,Yorkshire and the Humber,DN418BZ,,520457.0,409164.0,1997,53.56529316,-0.18268895,,,,,,
Vitol,Shoreham,Fossil Fuel,CCGT,No,Natural Gas,,420,LV,England,South East,BN411WF,,521488.0,105110.0,2000,50.83277644,-0.27618469,,,,,,
Uniper UK,Taylors Lane,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,144,HV,England,London,NW108JP,,524680,195111.0,1979,51.64099271,-0.19958016,,,,,,
Intergen,Spalding Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,950,HV,England,East Midlands,,,524944.0,320245.0,2004,52.76538181,-0.14965056,,,,,,
RWE Npower,Rampion,Wind,Offshore,No,Wind,,400.2,HV,England,South East,,,525000.0,95000.0,2018,50.74115749,-0.22977664,,,,,,
RWE Npower,Humber Gateway,Wind,Offshore,No,Wind,,219,HV,England,Yorkshire and the Humber,,,528439.0,411181.0,2015,53.58152245,-0.06141389,,,,,,
Uniper UK,Enfield,Fossil Fuel,CCGT,No,Natural Gas,,408,HV,England,London,EN37PL,,532446.0,190691.0,1999,51.59949919,-0.08908604,,,,,,
Vitol,Rye House,Fossil Fuel,CCGT,No,Natural Gas,,715,HV,England,East of England,EN110RF,,538365.0,209811.0,1993,51.76988754,0.00389356,,,,,,
Orsted,Westermost Rough,Wind,Offshore,No,Wind,,210,HV,England,Yorkshire and the Humber,,,541677.0,436555.0,2015,53.80601984,0.14997952,,,,,,
Intergen,Coryton Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,800,HV,England,South East,,,565166.0,178798.0,2002,51.48402031,0.37736627,,,,,,
Orsted,Lincs,Wind,Offshore,No,Wind,,270,HV,England,East Midlands,,,567020.0,368144.0,2013,53.18419943,0.49808158,,,,,,
Orsted,Race Bank,Wind,Offshore,No,Wind,,573,HV,England,East of England,,,573300.0,363000.0,2018,53.13600125,0.58918094,,,,,,
Scira Offshore Energy,Dudgeon BMU 1,Wind,Offshore,No,Wind,,108,HV,England,East of England,,,575000.0,361000.0,2017,53.11748711,0.61347532,,,,,,
Scira Offshore Energy,Dudgeon BMU 3,Wind,Offshore,No,Wind,,102,HV,England,East of England,,,575000.0,361000.0,2017,53.11748711,0.61347532,,,,,,
Scira Offshore Energy,Dudgeon BMU 4,Wind,Offshore,No,Wind,,102,HV,England,East of England,,,575000.0,361000.0,2017,53.11748711,0.61347532,,,,,,
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805,HV,England,South East,ME39TX,,581973.0,173211.0,2000,51.42868402,0.61628863,,,,,,
SSE Group,Medway,Fossil Fuel,CCGT,No,Natural Gas,,755,HV,England,South East,ME30AG,,586916.0,174008.0,1995,51.43423591,0.68773067,T_MEDP-1,,,,,
Uniper UK,Grain,Fossil Fuel,CCGT,Yes,Natural Gas,,1365,HV,England,South East,ME30AR,,588672.0,172826.0,2011,51.42303828,0.7123346,,,,,,
Scira Offshore Energy,Sheringham Shoal BMU 1,Wind,Offshore,No,Wind,,158,HV,England,East of England,,,610671.0,364425.0,2012,53.13534561,1.14793366,,,,,,
Scira Offshore Energy,Sheringham Shoal BMU 2,Wind,Offshore,No,Wind,,158,HV,England,East of England,,,610671.0,364425.0,2012,53.13534561,1.14793366,,,,,,
Orsted,Gunfleet Sands 01,Wind,Offshore,No,Wind,,108,HV,England,South East,,,622317.0,208468.0,2010,51.7308284,1.21804238,,,,,,
Orsted,Hornsea 01,Wind,Offshore,No,Wind,,1218,HV,England,North East,,,626000.0,426000.0,2019,53.68156264,1.42073694,,,,,,
RWE Npower,London Array,Wind,Offshore,No,Wind,,630,HV,England,South East,,TM459013,642078.0,197218.0,2013,51.62168982,1.49585898,,,,,,
RWE Npower,Galloper,Wind,Offshore,No,Wind,,352.8,HV,England,East of England,,TM7796929898,646316.0,262379.0,2017,52.20456991,1.60351695,,,,,,
EDF Energy,Sizewell B,Nuclear,PWR,No,Nuclear,,1198,HV,England,East of England,IP164UR,,647453.0,260420.0,1995,52.18648383,1.6186928,,,,,,
